material,tons,scenario
aluminium,77100.0,scenario 1
bitumen,4096.0,scenario 1
brick,158832.0,scenario 1
cement_cover-floor,53232.0,scenario 1
concrete_in-situ,2884959.0,scenario 1
concrete_prefab,3134460.0,scenario 1
furnishing_stone,102708.0,scenario 1
glass,767616.0,scenario 1
gravel_sand,56791.0,scenario 1
gypsum,678547.0,scenario 1
isolation,10721.0,scenario 1
plaster,393.0,scenario 1
steel,251817.0,scenario 1
aluminium,77100.0,scenario 2
bitumen,4096.0,scenario 2
brick,158832.0,scenario 2
cement_cover-floor,53232.0,scenario 2
concrete_in-situ,2884959.0,scenario 2
concrete_prefab,3134460.0,scenario 2
furnishing_stone,102708.0,scenario 2
glass,767616.0,scenario 2
gravel_sand,56791.0,scenario 2
gypsum,678547.0,scenario 2
isolation,10721.0,scenario 2
plaster,393.0,scenario 2
steel,251817.0,scenario 2
aluminium,77100.0,scenario 3
bitumen,4096.0,scenario 3
brick,158832.0,scenario 3
cement_cover-floor,53232.0,scenario 3
concrete_in-situ,2884959.0,scenario 3
concrete_prefab,3134460.0,scenario 3
furnishing_stone,102708.0,scenario 3
glass,767616.0,scenario 3
gravel_sand,56791.0,scenario 3
gypsum,678547.0,scenario 3
isolation,10721.0,scenario 3
plaster,393.0,scenario 3
steel,251817.0,scenario 3
biobased,1085955.0,scenario 4
concrete_in-situ,1188919.0,scenario 4
concrete_prefab,252856.0,scenario 4
furnishing_stone,102708.0,scenario 4
glass,767616.0,scenario 4
gravel_sand,56791.0,scenario 4
steel,155372.0,scenario 4
timber,1549872.0,scenario 4
concrete_in-situ,1188919.0,scenario 5
gravel_sand,55642.0,scenario 5
modules,728082.0,scenario 5
steel,132102.0,scenario 5
timber,328800.0,scenario 5
concrete_in-situ,1188919.0,scenario 6
gravel_sand,55642.0,scenario 6
modules,728082.0,scenario 6
steel,132102.0,scenario 6
timber,328800.0,scenario 6
